Geo_Level,Geo_Unit,Voted,Did_Not_Vote,Not_Eligible_to_Vote,Turnout,Election,Election_Date,Year
Council District,1,4884.0,62505.0,23146.0,0.072,2024 Presidential Primary,04/02/2024,2024
Council District,2,6970.0,65648.0,20694.0,0.096,2024 Presidential Primary,04/02/2024,2024
Council District,3,7865.0,62960.0,21288.0,0.111,2024 Presidential Primary,04/02/2024,2024
Council District,4,7770.0,62686.0,24790.0,0.11,2024 Presidential Primary,04/02/2024,2024
Council District,5,8775.0,62927.0,23342.0,0.122,2024 Presidential Primary,04/02/2024,2024
Council District,6,10762.0,70891.0,21267.0,0.132,2024 Presidential Primary,04/02/2024,2024
Council District,7,8042.0,76358.0,17883.0,0.095,2024 Presidential Primary,04/02/2024,2024
Council District,8,3221.0,69909.0,19021.0,0.044,2024 Presidential Primary,04/02/2024,2024
Council District,9,6514.0,77114.0,17228.0,0.078,2024 Presidential Primary,04/02/2024,2024
Council District,10,5095.0,78818.0,18228.0,0.061,2024 Presidential Primary,04/02/2024,2024
Council District,11,5522.0,61147.0,18309.0,0.083,2024 Presidential Primary,04/02/2024,2024
Council District,12,5709.0,70050.0,16709.0,0.075,2024 Presidential Primary,04/02/2024,2024
Council District,13,3388.0,60361.0,21188.0,0.053,2024 Presidential Primary,04/02/2024,2024
Council District,14,1823.0,58595.0,15591.0,0.03,2024 Presidential Primary,04/02/2024,2024
Council District,15,1806.0,53519.0,15034.0,0.033,2024 Presidential Primary,04/02/2024,2024
Council District,16,2557.0,63752.0,16181.0,0.039,2024 Presidential Primary,04/02/2024,2024
Council District,17,1850.0,62596.0,16848.0,0.029,2024 Presidential Primary,04/02/2024,2024
Council District,18,3067.0,66705.0,18246.0,0.044,2024 Presidential Primary,04/02/2024,2024
Council District,19,4125.0,57752.0,27811.0,0.067,2024 Presidential Primary,04/02/2024,2024
Council District,20,2060.0,43396.0,22219.0,0.045,2024 Presidential Primary,04/02/2024,2024
Council District,21,1702.0,39886.0,14604.0,0.041,2024 Presidential Primary,04/02/2024,2024
Council District,22,5159.0,58761.0,22462.0,0.081,2024 Presidential Primary,04/02/2024,2024
Council District,23,4433.0,65854.0,27691.0,0.063,2024 Presidential Primary,04/02/2024,2024
Council District,24,3361.0,58457.0,23886.0,0.054,2024 Presidential Primary,04/02/2024,2024
Council District,25,3434.0,51877.0,21500.0,0.062,2024 Presidential Primary,04/02/2024,2024
Council District,26,4350.0,55159.0,21737.0,0.073,2024 Presidential Primary,04/02/2024,2024
Council District,27,4340.0,73738.0,18372.0,0.056,2024 Presidential Primary,04/02/2024,2024
Council District,28,3605.0,67009.0,19695.0,0.051,2024 Presidential Primary,04/02/2024,2024
Council District,29,4118.0,59403.0,24573.0,0.065,2024 Presidential Primary,04/02/2024,2024
Council District,30,3281.0,52965.0,26480.0,0.058,2024 Presidential Primary,04/02/2024,2024
Council District,31,3714.0,66330.0,16113.0,0.053,2024 Presidential Primary,04/02/2024,2024
Council District,32,3610.0,60889.0,24718.0,0.056,2024 Presidential Primary,04/02/2024,2024
Council District,33,5090.0,67505.0,18248.0,0.07,2024 Presidential Primary,04/02/2024,2024
Council District,34,3757.0,72361.0,19922.0,0.049,2024 Presidential Primary,04/02/2024,2024
Council District,35,8246.0,82156.0,17494.0,0.091,2024 Presidential Primary,04/02/2024,2024
Council District,36,5666.0,77132.0,16778.0,0.068,2024 Presidential Primary,04/02/2024,2024
Council District,37,2427.0,61036.0,17740.0,0.038,2024 Presidential Primary,04/02/2024,2024
Council District,38,2840.0,49930.0,20057.0,0.054,2024 Presidential Primary,04/02/2024,2024
